T,i1,f1,i2,f2,k_VV
4100.0,3,4,4,3,1.304395486686767e-11
4100.0,3,4,5,4,1.63688391712805e-11
4100.0,3,4,6,5,1.9646554932714214e-11
4100.0,4,3,0,1,3.1662675807847202e-12
4100.0,4,3,1,2,6.4071988922480056e-12
4100.0,4,3,2,3,9.710784322647336e-12
4100.0,4,3,3,4,1.304395486686767e-11
4100.0,4,3,4,5,1.63688391712805e-11
4100.0,4,3,5,6,1.9646554932714214e-11
4100.0,4,5,1,0,3.937703540669326e-12
4100.0,4,5,2,1,7.989422330886637e-12
4100.0,4,5,3,2,1.2146091532025943e-11
4100.0,4,5,4,3,1.63688391712805e-11
4100.0,4,5,5,4,2.0611104334309786e-11
4100.0,4,5,6,5,2.4823608131560288e-11
4100.0,5,4,0,1,3.937703540669326e-12
4100.0,5,4,1,2,7.989422330886637e-12
4100.0,5,4,2,3,1.2146091532025943e-11
4100.0,5,4,3,4,1.63688391712805e-11
4100.0,5,4,4,5,2.0611104334309786e-11
4100.0,5,4,5,6,2.4823608131560288e-11
4100.0,5,6,1,0,4.68319982105517e-12
4100.0,5,6,2,1,9.527800653694392e-12
4100.0,5,6,3,2,1.4529933829981838e-11
4100.0,5,6,4,3,1.9646554932714214e-11
4100.0,5,6,5,4,2.4823608131560288e-11
4100.0,5,6,6,5,3.000208730117164e-11
4100.0,6,5,0,1,4.68319982105517e-12
4100.0,6,5,1,2,9.527800653694392e-12
4100.0,6,5,2,3,1.4529933829981838e-11
4100.0,6,5,3,4,1.9646554932714214e-11
4100.0,6,5,4,5,2.4823608131560288e-11
4100.0,6,5,5,6,3.000208730117164e-11
4733.333333333334,0,1,1,0,9.44704762493666e-13
4733.333333333334,0,1,2,1,1.8981004785694152e-12
4733.333333333334,0,1,3,2,2.85423514620247e-12
4733.333333333334,0,1,4,3,3.8039595216391615e-12
4733.333333333334,0,1,5,4,4.737816317591163e-12
4733.333333333334,0,1,6,5,5.6467287245790505e-12
4733.333333333334,1,0,0,1,9.44704762493666e-13
4733.333333333334,1,0,1,2,1.8981004785694152e-12
4733.333333333334,1,0,2,3,2.85423514620247e-12
4733.333333333334,1,0,3,4,3.8039595216391615e-12
4733.333333333334,1,0,4,5,4.737816317591163e-12
4733.333333333334,1,0,5,6,5.6467287245790505e-12
4733.333333333334,1,2,1,0,1.8981004785694152e-12
4733.333333333334,1,2,2,1,3.8153168920033564e-12
4733.333333333334,1,2,3,2,5.744069829350563e-12
4733.333333333334,1,2,4,3,7.667257747830531e-12
4733.333333333334,1,2,5,4,9.56626193170053e-12
4733.333333333334,1,2,6,5,1.1422705825953053e-11
4733.333333333334,2,1,0,1,1.8981004785694152e-12
4733.333333333334,2,1,1,2,3.8153168920033564e-12
4733.333333333334,2,1,2,3,5.744069829350563e-12
