T,i1,f1,i2,f2,k_VV
2200.0,1,0,3,4,7.041376597326924e-13
2200.0,1,0,4,5,8.564693859312343e-13
2200.0,1,0,5,6,9.904595771109138e-13
2200.0,1,2,1,0,3.603739509034962e-13
2200.0,1,2,2,1,7.31849640779748e-13
2200.0,1,2,3,2,1.1026956254536313e-12
2200.0,1,2,4,3,1.460757589454783e-12
2200.0,1,2,5,4,1.7948302735094721e-12
2200.0,1,2,6,5,2.095553163126329e-12
2200.0,2,1,0,1,3.603739509034962e-13
2200.0,2,1,1,2,7.31849640779748e-13
2200.0,2,1,2,3,1.1026956254536313e-12
2200.0,2,1,3,4,1.460757589454783e-12
2200.0,2,1,4,5,1.7948302735094721e-12
2200.0,2,1,5,6,2.095553163126329e-12
2200.0,2,3,1,0,5.371693097124402e-13
2200.0,2,3,2,1,1.1026956254536313e-12
2200.0,2,3,3,2,1.6798351948331479e-12
2200.0,2,3,4,3,2.2497944230760332e-12
2200.0,2,3,5,4,2.7939453625887567e-12
2200.0,2,3,6,5,3.2955131927272166e-12
2200.0,3,2,0,1,5.371693097124402e-13
2200.0,3,2,1,2,1.1026956254536313e-12
2200.0,3,2,2,3,1.6798351948331479e-12
2200.0,3,2,3,4,2.2497944230760332e-12
2200.0,3,2,4,5,2.7939453625887567e-12
2200.0,3,2,5,6,3.2955131927272166e-12
2200.0,3,4,1,0,7.041376597326924e-13
2200.0,3,4,2,1,1.460757589454783e-12
2200.0,3,4,3,2,2.2497944230760332e-12
2200.0,3,4,4,3,3.0467637340597986e-12
2200.0,3,4,5,4,3.82555304149772e-12
2200.0,3,4,6,5,4.560858528033367e-12
2200.0,4,3,0,1,7.041376597326924e-13
2200.0,4,3,1,2,1.460757589454783e-12
2200.0,4,3,2,3,2.2497944230760332e-12
2200.0,4,3,3,4,3.0467637340597986e-12
2200.0,4,3,4,5,3.82555304149772e-12
2200.0,4,3,5,6,4.560858528033367e-12
2200.0,4,5,1,0,8.564693859312343e-13
2200.0,4,5,2,1,1.7948302735094721e-12
2200.0,4,5,3,2,2.7939453625887567e-12
2200.0,4,5,4,3,3.82555304149772e-12
2200.0,4,5,5,4,4.857178383082183e-12
2200.0,4,5,6,5,5.8549652227883926e-12
2200.0,5,4,0,1,8.564693859312343e-13
2200.0,5,4,1,2,1.7948302735094721e-12
2200.0,5,4,2,3,2.7939453625887567e-12
2200.0,5,4,3,4,3.82555304149772e-12
2200.0,5,4,4,5,4.857178383082183e-12
2200.0,5,4,5,6,5.8549652227883926e-12
2200.0,5,6,1,0,9.904595771109138e-13
2200.0,5,6,2,1,2.095553163126329e-12
2200.0,5,6,3,2,3.2955131927272166e-12
2200.0,5,6,4,3,4.560858528033367e-12
2200.0,5,6,5,4,5.8549652227883926e-12
2200.0,5,6,6,5,7.136751332252902e-12
2200.0,6,5,0,1,9.904595771109138e-13
2200.0,6,5,1,2,2.095553163126329e-12
2200.0,6,5,2,3,3.2955131927272166e-12
2200.0,6,5,3,4,4.560858528033367e-12
2200.0,6,5,4,5,5.8549652227883926e-12
2200.0,6,5,5,6,7.136751332252902e-12
2833.3333333333335,0,1,1,0,2.4932398657416207e-13
2833.3333333333335,0,1,2,1,5.01288815687015e-13
2833.3333333333335,0,1,3,2,7.497440419588288e-13
2833.3333333333335,0,1,4,3,9.885660077685148e-13
2833.3333333333335,0,1,5,4,1.2122480894249617e-12
2833.3333333333335,0,1,6,5,1.4162158771824416e-12
2833.3333333333335,1,0,0,1,2.4932398657416207e-13
2833.3333333333335,1,0,1,2,5.01288815687015e-13
2833.3333333333335,1,0,2,3,7.497440419588288e-13
2833.3333333333335,1,0,3,4,9.885660077685148e-13
2833.3333333333335,1,0,4,5,1.2122480894249617e-12
2833.3333333333335,1,0,5,6,1.4162158771824416e-12
2833.3333333333335,1,2,1,0,5.01288815687015e-13
2833.3333333333335,1,2,2,1,1.0158273452769546e-12
2833.3333333333335,1,2,3,2,1.531524031194648e-12
2833.3333333333335,1,2,4,3,2.035465354480486e-12
2833.3333333333335,1,2,5,4,2.5153710707447768e-12
2833.3333333333335,1,2,6,5,2.9604357715055713e-12
2833.3333333333335,2,1,0,1,5.01288815687015e-13
2833.3333333333335,2,1,1,2,1.0158273452769546e-12
2833.3333333333335,2,1,2,3,1.531524031194648e-12
2833.3333333333335,2,1,3,4,2.035465354480486e-12
2833.3333333333335,2,1,4,5,2.5153710707447768e-12
2833.3333333333335,2,1,5,6,2.9604357715055713e-12
2833.3333333333335,2,3,1,0,7.497440419588288e-13
2833.3333333333335,2,3,2,1,1.531524031194648e-12
2833.3333333333335,2,3,3,2,2.328124773698768e-12
2833.3333333333335,2,3,4,3,3.119826695498686e-12
2833.3333333333335,2,3,5,4,3.886792538081378e-12
2833.3333333333335,2,3,6,5,4.610566154169133e-12
2833.3333333333335,3,2,0,1,7.497440419588288e-13
2833.3333333333335,3,2,1,2,1.531524031194648e-12
2833.3333333333335,3,2,2,3,2.328124773698768e-12
2833.3333333333335,3,2,3,4,3.119826695498686e-12
2833.3333333333335,3,2,4,5,3.886792538081378e-12
2833.3333333333335,3,2,5,6,4.610566154169133e-12
2833.3333333333335,3,4,1,0,9.885660077685148e-13
2833.3333333333335,3,4,2,1,2.035465354480486e-12
2833.3333333333335,3,4,3,2,3.119826695498686e-12
2833.3333333333335,3,4,4,3,4.215926707216655e-12
2833.3333333333335,3,4,5,4,5.2963652639883205e-12
2833.3333333333335,3,4,6,5,6.3341916042016245e-12
2833.3333333333335,4,3,0,1,9.885660077685148e-13
2833.3333333333335,4,3,1,2,2.035465354480486e-12
2833.3333333333335,4,3,2,3,3.119826695498686e-12
2833.3333333333335,4,3,3,4,4.215926707216655e-12
2833.3333333333335,4,3,4,5,5.2963652639883205e-12
2833.3333333333335,4,3,5,6,6.3341916042016245e-12
2833.3333333333335,4,5,1,0,1.2122480894249617e-12
2833.3333333333335,4,5,2,1,2.5153710707447768e-12
2833.3333333333335,4,5,3,2,3.886792538081378e-12
2833.3333333333335,4,5,4,3,5.2963652639883205e-12
2833.3333333333335,4,5,5,4,6.710042248460898e-12
2833.3333333333335,4,5,6,5,8.092404444101805e-12
2833.3333333333335,5,4,0,1,1.2122480894249617e-12
2833.3333333333335,5,4,1,2,2.5153710707447768e-12
2833.3333333333335,5,4,2,3,3.886792538081378e-12
2833.3333333333335,5,4,3,4,5.2963652639883205e-12
2833.3333333333335,5,4,4,5,6.710042248460898e-12
2833.3333333333335,5,4,5,6,8.092404444101805e-12
2833.3333333333335,5,6,1,0,1.4162158771824416e-12
2833.3333333333335,5,6,2,1,2.9604357715055713e-12
2833.3333333333335,5,6,3,2,4.610566154169133e-12
2833.3333333333335,5,6,4,3,6.3341916042016245e-12
2833.3333333333335,5,6,5,4,8.092404444101805e-12
2833.3333333333335,5,6,6,5,9.84237664877074e-12
2833.3333333333335,6,5,0,1,1.4162158771824416e-12
2833.3333333333335,6,5,1,2,2.9604357715055713e-12
2833.3333333333335,6,5,2,3,4.610566154169133e-12
2833.3333333333335,6,5,3,4,6.3341916042016245e-12
2833.3333333333335,6,5,4,5,8.092404444101805e-12
2833.3333333333335,6,5,5,6,9.84237664877074e-12
3466.666666666667,0,1,1,0,3.238295345630117e-13
3466.666666666667,0,1,2,1,6.512368932898801e-13
3466.666666666667,0,1,3,2,9.759407209941172e-13
3466.666666666667,0,1,4,3,1.2914567365871524e-12
3466.666666666667,0,1,5,4,1.5917673113298158e-12
3466.666666666667,0,1,6,5,1.871643061246734e-12
3466.666666666667,1,0,0,1,3.238295345630117e-13
3466.666666666667,1,0,1,2,6.512368932898801e-13
3466.666666666667,1,0,2,3,9.759407209941172e-13
3466.666666666667,1,0,3,4,1.2914567365871524e-12
3466.666666666667,1,0,4,5,1.5917673113298158e-12
3466.666666666667,1,0,5,6,1.871643061246734e-12
3466.666666666667,1,2,1,0,6.512368932898801e-13
3466.666666666667,1,2,2,1,1.3174734906384654e-12
3466.666666666667,1,2,3,2,1.9866038054965956e-12
3466.666666666667,1,2,4,3,2.645218758421205e-12
3466.666666666667,1,2,5,4,3.2802827285016427e-12
3466.666666666667,1,2,6,5,3.879948453839494e-12
3466.666666666667,2,1,0,1,6.512368932898801e-13
3466.666666666667,2,1,1,2,1.3174734906384654e-12
3466.666666666667,2,1,2,3,1.9866038054965956e-12
3466.666666666667,2,1,3,4,2.645218758421205e-12
3466.666666666667,2,1,4,5,3.2802827285016427e-12
3466.666666666667,2,1,5,6,3.879948453839494e-12
3466.666666666667,2,3,1,0,9.759407209941172e-13
3466.666666666667,2,3,2,1,1.9866038054965956e-12
3466.666666666667,2,3,3,2,3.0149046456881565e-12
3466.666666666667,2,3,4,3,4.040565051400555e-12
3466.666666666667,2,3,5,4,5.04292800159416e-12
3466.666666666667,2,3,6,5,6.00236624314283e-12
3466.666666666667,3,2,0,1,9.759407209941172e-13
3466.666666666667,3,2,1,2,1.9866038054965956e-12
3466.666666666667,3,2,2,3,3.0149046456881565e-12
3466.666666666667,3,2,3,4,4.040565051400555e-12
3466.666666666667,3,2,4,5,5.04292800159416e-12
3466.666666666667,3,2,5,6,6.00236624314283e-12
3466.666666666667,3,4,1,0,1.2914567365871524e-12
3466.666666666667,3,4,2,1,2.645218758421205e-12
3466.666666666667,3,4,3,2,4.040565051400555e-12
3466.666666666667,3,4,4,3,5.451057864158363e-12
3466.666666666667,3,4,5,4,6.8484514516428675e-12
3466.666666666667,3,4,6,5,8.204678274919303e-12
3466.666666666667,4,3,0,1,1.2914567365871524e-12
3466.666666666667,4,3,1,2,2.645218758421205e-12
3466.666666666667,4,3,2,3,4.040565051400555e-12
3466.666666666667,4,3,3,4,5.451057864158363e-12
3466.666666666667,4,3,4,5,6.8484514516428675e-12
3466.666666666667,4,3,5,6,8.204678274919303e-12
3466.666666666667,4,5,1,0,1.5917673113298158e-12
3466.666666666667,4,5,2,1,3.2802827285016427e-12
3466.666666666667,4,5,3,2,5.04292800159416e-12
3466.666666666667,4,5,4,3,6.8484514516428675e-12
3466.666666666667,4,5,5,4,8.661793069056007e-12
3466.666666666667,4,5,6,5,1.0446496300753969e-11
3466.666666666667,5,4,0,1,1.5917673113298158e-12
3466.666666666667,5,4,1,2,3.2802827285016427e-12
3466.666666666667,5,4,2,3,5.04292800159416e-12
3466.666666666667,5,4,3,4,6.8484514516428675e-12
3466.666666666667,5,4,4,5,8.661793069056007e-12
3466.666666666667,5,4,5,6,1.0446496300753969e-11
3466.666666666667,5,6,1,0,1.871643061246734e-12
3466.666666666667,5,6,2,1,3.879948453839494e-12
3466.666666666667,5,6,3,2,6.00236624314283e-12
3466.666666666667,5,6,4,3,8.204678274919303e-12
3466.666666666667,5,6,5,4,1.0446496300753969e-11
3466.666666666667,5,6,6,5,1.268384962884908e-11
3466.666666666667,6,5,0,1,1.871643061246734e-12
3466.666666666667,6,5,1,2,3.879948453839494e-12
3466.666666666667,6,5,2,3,6.00236624314283e-12
3466.666666666667,6,5,3,4,8.204678274919303e-12
3466.666666666667,6,5,4,5,1.0446496300753969e-11
3466.666666666667,6,5,5,6,1.268384962884908e-11
4100.0,0,1,1,0,4.0215568054636895e-13
4100.0,0,1,2,1,8.087332883045136e-13
4100.0,0,1,3,2,1.2134507398483396e-12
4100.0,0,1,4,3,1.6095722729732906e-12
4100.0,0,1,5,4,1.9906978782650713e-12
4100.0,0,1,6,5,2.351093551822101e-12
4100.0,1,0,0,1,4.0215568054636895e-13
4100.0,1,0,1,2,8.087332883045136e-13
4100.0,1,0,2,3,1.2134507398483396e-12
4100.0,1,0,3,4,1.6095722729732906e-12
4100.0,1,0,4,5,1.9906978782650713e-12
4100.0,1,0,5,6,2.351093551822101e-12
4100.0,1,2,1,0,8.087332883045136e-13
4100.0,1,2,2,1,1.6337716482127213e-12
4100.0,1,2,3,2,2.4632981275405232e-12
4100.0,1,2,4,3,3.283609551906755e-12
4100.0,1,2,5,4,4.081139652986972e-12
4100.0,1,2,6,5,4.8432755711714044e-12
4100.0,2,1,0,1,8.087332883045136e-13
4100.0,2,1,1,2,1.6337716482127213e-12
4100.0,2,1,2,3,2.4632981275405232e-12
4100.0,2,1,3,4,3.283609551906755e-12
4100.0,2,1,4,5,4.081139652986972e-12
4100.0,2,1,5,6,4.8432755711714044e-12
4100.0,2,3,1,0,1.2134507398483396e-12
4100.0,2,3,2,1,2.4632981275405232e-12
4100.0,2,3,3,2,3.733122043176754e-12
4100.0,2,3,4,3,5.002380319580688e-12
4100.0,2,3,5,4,6.2498824961415605e-12
4100.0,2,3,6,5,7.45518185602038e-12
4100.0,3,2,0,1,1.2134507398483396e-12
4100.0,3,2,1,2,2.4632981275405232e-12
4100.0,3,2,2,3,3.733122043176754e-12
4100.0,3,2,3,4,5.002380319580688e-12
4100.0,3,2,4,5,6.2498824961415605e-12
4100.0,3,2,5,6,7.45518185602038e-12
4100.0,3,4,1,0,1.6095722729732906e-12
4100.0,3,4,2,1,3.283609551906755e-12
4100.0,3,4,3,2,5.002380319580688e-12
4100.0,3,4,4,3,6.739155902527534e-12
4100.0,3,4,5,4,8.46518649195955e-12
4100.0,3,4,6,5,1.0151667400043341e-11
4100.0,4,3,0,1,1.6095722729732906e-12
4100.0,4,3,1,2,3.283609551906755e-12
4100.0,4,3,2,3,5.002380319580688e-12
4100.0,4,3,3,4,6.739155902527534e-12
4100.0,4,3,4,5,8.46518649195955e-12
4100.0,4,3,5,6,1.0151667400043341e-11
4100.0,4,5,1,0,1.9906978782650713e-12
4100.0,4,5,2,1,4.081139652986972e-12
4100.0,4,5,3,2,6.2498824961415605e-12
4100.0,4,5,4,3,8.46518649195955e-12
4100.0,4,5,5,4,1.0691414491154214e-11
4100.0,4,5,6,5,1.2891469740179103e-11
4100.0,5,4,0,1,1.9906978782650713e-12
4100.0,5,4,1,2,4.081139652986972e-12
4100.0,5,4,2,3,6.2498824961415605e-12
4100.0,5,4,3,4,8.46518649195955e-12
4100.0,5,4,4,5,1.0691414491154214e-11
4100.0,5,4,5,6,1.2891469740179103e-11
4100.0,5,6,1,0,2.351093551822101e-12
4100.0,5,6,2,1,4.8432755711714044e-12
4100.0,5,6,3,2,7.45518185602038e-12
4100.0,5,6,4,3,1.0151667400043341e-11
4100.0,5,6,5,4,1.2891469740179103e-11
4100.0,5,6,6,5,1.562993836896947e-11
4100.0,6,5,0,1,2.351093551822101e-12
4100.0,6,5,1,2,4.8432755711714044e-12
4100.0,6,5,2,3,7.45518185602038e-12
4100.0,6,5,3,4,1.0151667400043341e-11
4100.0,6,5,4,5,1.2891469740179103e-11
4100.0,6,5,5,6,1.562993836896947e-11
4733.333333333334,0,1,1,0,4.837778724356838e-13
