i1,f1,i2,f2,a_0,a_1,a_2,a_3,a_4,a_5,a_6
3,4,6,5,-18.956267482561643,-163.71508058041528,1392.2884891755557,-7378.4286592557,13082.035086944616,51655.248296778904,-206107.69572111842
4,3,0,1,-19.63563851682534,-229.62012371121207,3020.6183562981887,-29545.448760569063,184230.48189658916,-657602.6594919667,1015460.5417591777
4,3,1,2,-19.266127800285304,-210.6057951673249,2547.2997775617105,-23021.552665587697,134035.11576116958,-449337.1286645587,655547.0972176541
4,3,2,3,-19.104856517801583,-196.17334900106718,2189.708504044036,-18118.23023458987,96295.37557448546,-292671.71063561394,385143.2546421134
4,3,3,4,-19.021343503403457,-184.04727205876335,1890.5362864150502,-14048.16318142331,64890.92917052255,-162478.0724986455,161015.08942005996
4,3,4,5,-18.978337503364376,-173.2869783680927,1625.7054074853932,-10475.113809593253,37161.36128982283,-47579.97191181904,-36647.39098478736
4,3,5,6,-18.956267482561643,-163.71508058041528,1392.2884891755557,-7378.4286592557,13082.035086944616,51655.248296778904,-206107.69572111842
4,5,1,0,-19.50430856429601,-223.64742714533813,2871.1466953128984,-27577.793474043723,167975.51915950328,-587688.98516155,893333.3971796158
4,5,2,1,-19.173088198694334,-202.52272061232046,2346.4358468796877,-20342.59526541672,112628.23242283583,-359534.81635020254,500747.9854273977
4,5,3,2,-19.03902581416102,-186.63418976573172,1954.1922947287135,-14960.3387529815,71529.46881147682,-189845.76101619203,208425.99950108386
4,5,4,3,-18.978337503364376,-173.2869783680927,1625.7054074853932,-10475.113809593253,37161.36128982283,-47579.97191181904,-36647.39098478736
4,5,5,4,-18.951600493337082,-161.74259539801974,1343.9406486007574,-6674.734106566023,8058.283760200933,72339.19683997527,-242048.08283457818
4,5,6,5,-18.946140786888225,-151.31953526897544,1090.7229608700727,-3296.0755123660765,-17927.7287366568,179176.47152370063,-424635.93972851953
5,4,0,1,-19.50430856429601,-223.64742714533813,2871.1466953128984,-27577.793474043723,167975.51915950328,-587688.98516155,893333.3971796158
5,4,1,2,-19.173088198694334,-202.52272061232046,2346.4358468796877,-20342.59526541672,112628.23242283583,-359534.81635020254,500747.9854273977
5,4,2,3,-19.03902581416102,-186.63418976573172,1954.1922947287135,-14960.3387529815,71529.46881147682,-189845.76101619203,208425.99950108386
5,4,3,4,-18.978337503364376,-173.2869783680927,1625.7054074853932,-10475.113809593253,37161.36128982283,-47579.97191181904,-36647.39098478736
5,4,4,5,-18.951600493337082,-161.74259539801974,1343.9406486007574,-6674.734106566023,8058.283760200933,72339.19683997527,-242048.08283457818
5,4,5,6,-18.946140786888225,-151.31953526897544,1090.7229608700727,-3296.0755123660765,-17927.7287366568,179176.47152370063,-424635.93972851953
5,6,1,0,-19.40476465994922,-218.2095857256224,2735.9938648962616,-25842.153978954968,153314.29368532653,-522937.88161205186,777985.8955196098
5,6,2,1,-19.10905163841382,-195.11165633865383,2162.647953409935,-17922.15598659027,92946.15374275633,-275672.72947716404,354974.97490313073
5,6,3,2,-18.999479440126184,-177.92034089431178,1739.5499855662574,-12113.628547997278,48942.219381333154,-95544.75811669168,46432.687868440276
5,6,4,3,-18.956267482561643,-163.71508058041528,1392.2884891755557,-7378.4286592557,13082.035086944616,51655.248296778904,-206107.69572111842
5,6,5,4,-18.946140786888225,-151.31953526897544,1090.7229608700727,-3296.0755123660765,-17927.7287366568,179176.47152370063,-424635.93972851953
5,6,6,5,-18.954336331720555,-140.22927641991436,822.593360886923,294.56498891142905,-45260.81019581394,291290.6864329892,-615982.9521416526
6,5,0,1,-19.40476465994922,-218.2095857256224,2735.9938648962616,-25842.153978954968,153314.29368532653,-522937.88161205186,777985.8955196098
6,5,1,2,-19.10905163841382,-195.11165633865383,2162.647953409935,-17922.15598659027,92946.15374275633,-275672.72947716404,354974.97490313073
6,5,2,3,-18.999479440126184,-177.92034089431178,1739.5499855662574,-12113.628547997278,48942.219381333154,-95544.75811669168,46432.687868440276
6,5,3,4,-18.956267482561643,-163.71508058041528,1392.2884891755557,-7378.4286592557,13082.035086944616,51655.248296778904,-206107.69572111842
6,5,4,5,-18.946140786888225,-151.31953526897544,1090.7229608700727,-3296.0755123660765,-17927.7287366568,179176.47152370063,-424635.93972851953
6,5,5,6,-18.954336331720555,-140.22927641991436,822.593360886923,294.56498891142905,-45260.81019581394,291290.6864329892,-615982.9521416526
