T,i1,f1,i2,f2,k_VV
4914.285714285715,5,4,6,3,1.862971098884562e-14
5185.714285714286,2,1,3,0,3.0751656631561133e-16
5185.714285714286,3,1,4,0,6.496366521998596e-17
5185.714285714286,3,2,4,1,2.2053901228656513e-15
5185.714285714286,4,1,5,0,1.7827323881968833e-17
5185.714285714286,4,2,5,1,7.752352966679477e-16
5185.714285714286,4,3,5,2,8.811350781592772e-15
5185.714285714286,5,1,6,0,5.504186665030528e-18
5185.714285714286,5,2,6,1,3.211224597209145e-16
5185.714285714286,5,3,6,2,4.6405599840717724e-15
5185.714285714286,5,4,6,3,2.6447137321274378e-14
5457.142857142858,2,1,3,0,4.326074891046985e-16
5457.142857142858,3,1,4,0,9.270395758286673e-17
5457.142857142858,3,2,4,1,3.086316423902922e-15
5457.142857142858,4,1,5,0,2.6006297694127715e-17
5457.142857142858,4,2,5,1,1.1003268075982732e-15
5457.142857142858,4,3,5,2,1.2268859631765163e-14
5457.142857142858,5,1,6,0,8.261605774049382e-18
5457.142857142858,5,2,6,1,4.659439232874487e-16
5457.142857142858,5,3,6,2,6.552253383531109e-15
5457.142857142858,5,4,6,3,3.6642201067792286e-14
5728.571428571429,2,1,3,0,5.951719999490706e-16
5728.571428571429,3,1,4,0,1.293697099194492e-16
5728.571428571429,3,2,4,1,4.224899058368382e-15
5728.571428571429,4,1,5,0,3.7082885577219405e-17
5728.571428571429,4,2,5,1,1.5276112458696757e-15
5728.571428571429,4,3,5,2,1.6714264232702205e-14
5728.571428571429,5,1,6,0,1.2110687075653901e-17
5728.571428571429,5,2,6,1,6.609816644410731e-16
5728.571428571429,5,3,6,2,9.051319250085232e-15
5728.571428571429,5,4,6,3,4.9683045902458615e-14
6000.0,2,1,3,0,8.027046333336166e-16
6000.0,3,1,4,0,1.7697323988755382e-16
6000.0,3,2,4,1,5.670802896787652e-15
6000.0,4,1,5,0,5.180969269265619e-17
6000.0,4,2,5,1,2.0793644232577896e-15
6000.0,4,3,5,2,2.233122443910828e-14
6000.0,5,1,6,0,1.738065735239613e-17
6000.0,5,2,6,1,9.188989555600757e-16
6000.0,5,3,6,2,1.2261596259989026e-14
6000.0,5,4,6,3,6.607980243882229e-14
